org_study_id,nct_id,brief_title,official_title,overall_status,start_date,completion_date.text,completion_date..attrs,completion_date_type,lead_sponsor/agency,overall_official.last_name,overall_official.role,overall_official.affiliation,phase,study_type,enrollment.text,enrollment..attrs,primary_condition,primary_outcome,eligibility.gender,eligibility.minimum_age,eligibility.maximum_age,eligibility.healthy_volunteers,sponsors.lead_sponsor.agency,sponsors.lead_sponsor.agency_class,date_disclaimer,completion_date,overall_official.last_name.1,overall_official.role.1,overall_official.affiliation.1,enrollment,primary_outcome.measure,primary_outcome.measure.1,sponsors.collaborator.agency,sponsors.collaborator.agency_class,sponsors.collaborator.agency.1,sponsors.collaborator.agency_class.1,name,primary_outcome.time_frame,primary_outcome.time_frame.1,primary_outcome.measure.2,sponsors.collaborator.agency.2,sponsors.collaborator.agency_class.2,primary_outcome.measure.3,primary_outcome.measure.4,primary_outcome.measure.5,sponsors.collaborator.agency.3,sponsors.collaborator.agency_class.3,sponsors.collaborator.agency.4,sponsors.collaborator.agency_class.4,primary_outcome.description,overall_official.last_name.2,overall_official.role.2,overall_official.affiliation.2,overall_official.last_name.3,overall_official.role.3,overall_official.affiliation.3,primary_outcome.measure.6,primary_outcome.measure.7,measure,eligibility.sampling_method,eligibility.textblock.1,overall_official.last_name.4,overall_official.role.4,overall_official.affiliation.4,primary_outcome.description.1,primary_outcome.time_frame.2,primary_outcome.description.2,primary_outcome.time_frame.3,primary_outcome.description.3,start_date.text,start_date..attrs,primary_outcome.time_frame.4,primary_outcome.description.4,primary_outcome.time_frame.5,primary_outcome.description.5,primary_outcome.time_frame.6,primary_outcome.description.6,primary_outcome.time_frame.7,primary_outcome.description.7,primary_outcome.measure.8,primary_outcome.time_frame.8,primary_outcome.description.8,primary_outcome.measure.9,primary_outcome.time_frame.9,primary_outcome.description.9,primary_outcome.measure.10,primary_outcome.time_frame.10,primary_outcome.description.10,primary_outcome.measure.11,primary_outcome.time_frame.11,primary_outcome.description.11,sponsors.collaborator.agency.5,sponsors.collaborator.agency_class.5,sponsors.collaborator.agency.6,sponsors.collaborator.agency_class.6,overall_official.last_name.5,overall_official.role.5,overall_official.affiliation.5,overall_official.last_name.6,overall_official.role.6,overall_official.affiliation.6,overall_official.last_name.7,overall_official.role.7,overall_official.affiliation.7,overall_official.last_name.8,overall_official.role.8,overall_official.affiliation.8,sponsors.collaborator.agency.7,sponsors.collaborator.agency_class.7,sponsors.collaborator.agency.8,sponsors.collaborator.agency_class.8,sponsors.collaborator.agency.9,sponsors.collaborator.agency_class.9,sponsors.collaborator.agency.10,sponsors.collaborator.agency_class.10,sponsors.collaborator.agency.11,sponsors.collaborator.agency_class.11,address.city,primary_outcome.measure.12,primary_outcome.time_frame.12,eligibility.gender_based,eligibility.gender_description,overall_official.last_name.9,overall_official.role.9,overall_official.affiliation.9
A0661126,NCT00084227,Azithromycin Plus Chloroquine Versus Atovaquone-Proguanil For The Treatment Of Uncomplicated Plasmodium Falciparum Malaria In South America,"A Phase Ii/Iii, Randomized, Double Blind, Comparative Trial Of Azithromycin Plus Chloroquine Versus Atovaquone-Proguanil For The Treatment Of Uncomplicated Plasmodium Falciparum Malaria In South America",Completed,July 2004,July 2005,Actual,Actual,Pfizer,Pfizer CT.gov Call Center,Study Director,Pfizer,Phase 2/Phase 3,Interventional,244,Actual,"Malaria, Falciparum",parasite clearance,All,18 Years,N/A,No,Pfizer,Industry,"ClinicalTrials.gov processed this data on July 26, 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SCC940,NCT00118807,"Trial of the Effectiveness of AQ/AS, SP/AQ and SP/CQ for Uncomplicated Malaria in Gambian Children","Randomized Trial of the Effectiveness of Amodiaquine-Artesunate, Amodiaquine-Sulfadoxine-Pyrimethamine, and Chloroquine-Sulfadoxine-Pyrimethamine, for Treatment of Uncomplicated Malaria in Gambian Children",Completed,August 2003,NA,NA,NA,London School of Hygiene and Tropical Medicine,"Sam K Dunyo, PhD",Principal Investigator,Medical Research Council,Phase 3,Interventional,NA,NA,Malaria,NA,All,6 Months,10 Years,No,London School of Hygiene and Tropical Medicine,Other,"ClinicalTrials.gov processed this data on July 26, 2017",February 2004,"Paul J Milligan, PhD",Principal Investigator,London School of Hygiene and Tropical Medicine,1800,Clinical failure by day 28,Incidence of adverse events,Medical Research Council,Other,"National Malaria Control Programme, The Gambia",Other,Medical Research Council Laboratories,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001/HD11/524/RQ,NCT00124267,Efficacy of Intrarectal Versus Intravenous Quinine for the Treatment of Childhood Cerebral Malaria,Efficacy of Intrarectal Versus Intravenous Quinine for the Treatment of Childhood Cerebral Malaria: a Randomized Clinical Trial,Unknown status,September 2003,NA,NA,NA,Makerere University,"Jane Achan, MBChB",Principal Investigator,"Department of Paediatrics and Child Health, Makerere University",Phase 3,Interventional,NA,NA,Cerebral Malaria,Parasite clearance time,All,6 Months,5 Years,No,Makerere University,Other,"ClinicalTrials.gov processed this data on July 26, 2017",January 2004,NA,NA,NA,108,NA,NA,Sanofi-Synthelabo,Industry,"Ministry of Health, Uganda",Other,Mulago Hospital,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
00-021,NCT00133393,Pentoxifylline in Children With Malaria,Dose Finding Study of Pentoxifylline in Children With Cerebral Malaria,Terminated,January 2002,NA,NA,NA,National Institute of Allergy and Infectious Diseases (NIAID),NA,NA,NA,Phase 2,Interventional,NA,NA,Plasmodium Falciparum Malaria,NA,All,9 Months,96 Months,No,National Institute of Allergy and Infectious Diseases (NIAID),NIH,"ClinicalTrials.gov processed this data on July 26, 2017",July 2005,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,KEMRI Centre for Geographic Medicine Research,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PSB-2004-paracetamol,NCT00137566,The Effect of Paracetamol in the Treatment of Non-severe Malaria in Children in Guinea-Bissau,The Effect of Paracetamol in the Treatment of Non-severe Malaria in Children in Guinea-Bissau,Unknown status,May 2004,January 2010,Anticipated,Anticipated,Bandim Health Project,"Peter Aaby, Professor",Study Director,Bandim Health Project,Phase 4,Interventional,NA,NA,Malaria; Falciparum,NA,All,N/A,15 Years,No,Bandim Health Project,Other,"ClinicalTrials.gov processed this data on July 26, 2017",NA,NA,NA,NA,NA,parasite clearance time,recrudescence rate,NA,NA,NA,NA,Bandim Health Project,35 days,35 days,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CDC-NCID-3354,NCT00137657,Impact of Cotrimoxazole Prophylaxis for HIV-Infected Adults on Antifolate Resistance,"An Evaluation of the Impact of Cotrimoxazole Prophylaxis for HIV-Infected Adults on the Development of Antifolate Resistance Among Plasmodium Falciparum, Streptococcus Pneumoniae, and Escherichia Coli",Completed,February 2002,NA,NA,NA,Centers for Disease Control and Prevention,"Mary J Hamel, M.D.",Principal Investigator,Centers for Disease Control and Prevention,Phase 4,Interventional,NA,NA,HIV; Malaria; Diarrhea; Pneumonia; Opportunistic Infections,NA,All,15 Years,N/A,No,Centers for Disease Control and Prevention,U.S. Fed,"ClinicalTrials.gov processed this data on July 26, 2017",November 2003,NA,NA,NA,1478,Change in Plasmodium falciparum molecular markers of antifolate resistance before and while taking daily CTX,"Change in nasopharyngeal pneumococcal resistance before and while taking daily CTX, and among children living in households where adults are taking daily CTX",Kenya Medical Research Institute,Other,NA,NA,CDC KEMRI Research Institute,NA,NA,Change in commensal E. coli resistance before and while taking daily CTX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Timika_FP_VP,NCT00157859,"To Evaluate Current Efficacy of Antimalarials Used in Timika, Papua, Indonesia","To Evaluate the Efficacy of Chloroquine and SP for Acute Uncomplicated P. Falciparum and the Efficacy of Chloroquine for Acute Uncomplicated P. Vivax in the Timika Region of Papua, Indonesia.",Completed,April 2004,NA,NA,NA,Menzies School of Health Research,"Emiliana Tjitre, PhD",Principal Investigator,"National Institute of Health Research and Development (NIHRD), Indonesia",N/A,Interventional,NA,NA,Falciparum Malaria; Vivax Malaria,NA,All,12 Months,N/A,No,Menzies School of Health Research,Other,"ClinicalTrials.gov processed this data on July 26, 2017",September 2004,NA,NA,NA,150,• 42 day cure rate; corrected for reinfection by PCR genotyping.,• Overall Cure Rate at Day 42,Wellcome Trust,Other,"National Health and Medical Research Council, Australia",Other,SP9 & SP12 Public Health- Malaria control clinics,NA,NA,NA,"National Institute of Health Research and Development (NIHRD), Indonesia",Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Timika_AMT,NCT00157885,"A Randomised Trial of Artekin and Artesunate & Amodiaquine for Uncomplicated Malaria in Timika, Papua, Indonesia.","A Randomized Trial to Compare the Efficacy of Artekin and Amodiaquine Plus Artesunate for the Treatment of Acute Falciparum and Vivax Malaria in Timika, Papua",Completed,July 2005,NA,NA,NA,Menzies School of Health Research,"Ric N Price, MD",Principal Investigator,Menzies School of Health Research,N/A,Interventional,NA,NA,"Malaria, Falciparum; Malaria, Vivax",Overall day 42 cure rate (incorporating early and late treatment failures),All,12 Months,N/A,No,Menzies School of Health Research,Other,"ClinicalTrials.gov processed this data on July 26, 2017",December 2005,Emiliana Tjitra,Principal Investigator,"National Institute of Health Research and Development, Jakarta, Indonesia",400,NA,NA,"National Institute of Health Research and Development (NIHRD), Indonesia",Other,Wellcome Trust,Other,SP9 & SP12 Public Health & Malaria Control Clinics,NA,NA,NA,"National Health and Medical Research Council, Australia",Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0661134,NCT00082576,Azithromycin Plus Chloroquine Versus Mefloquine for the Treatment of Uncomplicated Malaria in Africa,"A Phase II/III, Randomized, Double-Blind, Comparative Trial Of Azithromycin Plus Chloroquine Versus Mefloquine For The Treatment Of Uncomplicated Plasmodium Falciparum Malaria In Africa",Completed,June 2004,May 2006,Actual,Actual,Pfizer,Pfizer CT.gov Call Center,Study Director,Pfizer,Phase 2/Phase 3,Interventional,238,Actual,"Malaria, Falciparum",Parasite clearance,All,18 Years,N/A,No,Pfizer,Industry,"ClinicalTrials.gov processed this data on July 26, 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A-13399,NCT00197054,"A Study to Evaluate Safety, Immunogenicity and Proof-of-concept of RTS,S/AS02A, and RTS,S/AS01B, Two Candidate Malaria Vaccines in Malaria-experienced Adults Living in Western Kenya.","A Phase IIb Randomized, Double-blind, Controlled Study of the Safety, Immunogenicity and Proof-of-concept of RTS,S/AS02A, and RTS,S/AS01B, Two Candidate Malaria Vaccines in Malaria-experienced Adults Living in Western Kenya.",Completed,July 2005,September 2006,Actual,Actual,U.S. Army Medical Research and Materiel Command,GSK Clinical Trials,Study Director,GlaxoSmithKline,Phase 2,Interventional,255,Actual,Plasmodium Falciparum,Safety of the vaccine up to 7 days post Dose 3.,All,18 Years,35 Years,Accepts Healthy Volunteers,U.S. Army Medical Research and Materiel Command,U.S. Fed,"ClinicalTrials.gov processed this data on July 26, 2017",NA,NA,NA,NA,NA,NA,NA,GlaxoSmithKline,Industry,Walter Reed Army Institute of Research (WRAIR),U.S. Fed,U.S. Army Research Unit-Kenya,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
