org_study_id,nct_id,brief_title,official_title,overall_status,lead_sponsor/agency,overall_official.last_name,overall_official.role,overall_official.last_name.1,overall_official.role.1,phase,study_type,enrollment,primary_condition,eligibility.gender,eligibility.minimum_age,eligibility.maximum_age,eligibility.healthy_volunteers,sponsors.lead_sponsor.agency,sponsors.lead_sponsor.agency_class,date_disclaimer,completion_date.text,completion_date..attrs,completion_date_type,overall_official.last_name.2,overall_official.role.2,overall_official.last_name.3,overall_official.role.3,start_date,overall_official.affiliation,sponsors.collaborator.agency,sponsors.collaborator.agency_class,completion_date,primary_outcome,enrollment.text,enrollment..attrs,eligibility.sampling_method,eligibility.textblock.1,name,overall_official.affiliation.1,overall_official.affiliation.2,primary_outcome.measure,primary_outcome.time_frame,primary_outcome.measure.1,primary_outcome.time_frame.1,primary_outcome.description,primary_outcome.description.1,sponsors.collaborator.agency.1,sponsors.collaborator.agency_class.1,sponsors.collaborator.agency.2,sponsors.collaborator.agency_class.2,measure,primary_outcome.measure.2,sponsors.collaborator.agency.3,sponsors.collaborator.agency_class.3,sponsors.collaborator.agency.4,sponsors.collaborator.agency_class.4,sponsors.collaborator.agency.5,sponsors.collaborator.agency_class.5,overall_official.affiliation.3,overall_official.last_name.4,overall_official.role.4,overall_official.affiliation.4,primary_outcome.time_frame.2,primary_outcome.measure.3,primary_outcome.time_frame.3,primary_outcome.description.2,primary_outcome.description.3,primary_outcome.measure.4,primary_outcome.time_frame.4,primary_outcome.description.4,primary_outcome.measure.5,primary_outcome.time_frame.5,primary_outcome.description.5,overall_official.last_name.5,overall_official.role.5,overall_official.affiliation.5,overall_official.last_name.6,overall_official.role.6,overall_official.affiliation.6,overall_official.last_name.7,overall_official.role.7,overall_official.affiliation.7,overall_official.last_name.8,overall_official.role.8,overall_official.affiliation.8,overall_official.last_name.9,overall_official.role.9,overall_official.affiliation.9,overall_official.last_name.10,overall_official.role.10,overall_official.affiliation.10,overall_official.last_name.11,overall_official.role.11,overall_official.affiliation.11,overall_official.last_name.12,overall_official.role.12,overall_official.affiliation.12,overall_official.last_name.13,overall_official.role.13,overall_official.affiliation.13,sponsors.collaborator.agency.6,sponsors.collaborator.agency_class.6,primary_outcome.measure.6,primary_outcome.time_frame.6,primary_outcome.description.6,primary_outcome.measure.7,primary_outcome.time_frame.7,primary_outcome.description.7,primary_outcome.measure.8,primary_outcome.time_frame.8,primary_outcome.description.8,primary_outcome.measure.9,primary_outcome.time_frame.9,primary_outcome.description.9,sponsors.collaborator.agency.7,sponsors.collaborator.agency_class.7,sponsors.collaborator.agency.8,sponsors.collaborator.agency_class.8,primary_outcome.measure.10,primary_outcome.time_frame.10,primary_outcome.description.10,primary_outcome.measure.11,primary_outcome.time_frame.11,primary_outcome.description.11,primary_outcome.measure.12,primary_outcome.time_frame.12,primary_outcome.description.12,start_date.text,start_date..attrs,sponsors.collaborator.agency.9,sponsors.collaborator.agency_class.9,sponsors.collaborator.agency.10,sponsors.collaborator.agency_class.10,sponsors.collaborator.agency.11,sponsors.collaborator.agency_class.11,sponsors.collaborator.agency.12,sponsors.collaborator.agency_class.12,sponsors.collaborator.agency.13,sponsors.collaborator.agency_class.13,sponsors.collaborator.agency.14,sponsors.collaborator.agency_class.14,primary_outcome.measure.13,primary_outcome.time_frame.13,primary_outcome.description.13,primary_outcome.measure.14,primary_outcome.time_frame.14,primary_outcome.description.14,primary_outcome.measure.15,primary_outcome.time_frame.15,primary_outcome.description.15,primary_outcome.measure.16,primary_outcome.time_frame.16,primary_outcome.description.16,sponsors.collaborator.agency.15,sponsors.collaborator.agency_class.15,sponsors.collaborator.agency.16,sponsors.collaborator.agency_class.16,sponsors.collaborator.agency.17,sponsors.collaborator.agency_class.17,sponsors.collaborator.agency.18,sponsors.collaborator.agency_class.18,sponsors.collaborator.agency.19,sponsors.collaborator.agency_class.19,sponsors.collaborator.agency.20,sponsors.collaborator.agency_class.20,sponsors.collaborator.agency.21,sponsors.collaborator.agency_class.21,sponsors.collaborator.agency.22,sponsors.collaborator.agency_class.22,sponsors.collaborator.agency.23,sponsors.collaborator.agency_class.23,sponsors.collaborator.agency.24,sponsors.collaborator.agency_class.24,sponsors.collaborator.agency.25,sponsors.collaborator.agency_class.25,sponsors.collaborator.agency.26,sponsors.collaborator.agency_class.26,sponsors.collaborator.agency.27,sponsors.collaborator.agency_class.27,sponsors.collaborator.agency.28,sponsors.collaborator.agency_class.28,sponsors.collaborator.agency.29,sponsors.collaborator.agency_class.29,sponsors.collaborator.agency.30,sponsors.collaborator.agency_class.30,sponsors.collaborator.agency.31,sponsors.collaborator.agency_class.31,sponsors.collaborator.agency.32,sponsors.collaborator.agency_class.32,sponsors.collaborator.agency.33,sponsors.collaborator.agency_class.33,address.city,primary_outcome.measure.17,primary_outcome.time_frame.17,primary_outcome.description.17,primary_outcome.measure.18,primary_outcome.time_frame.18,primary_outcome.description.18,primary_outcome.measure.19,primary_outcome.time_frame.19,primary_outcome.description.19,eligibility.gender_based,eligibility.gender_description,primary_outcome.measure.20,primary_outcome.time_frame.20,primary_outcome.description.20,primary_outcome.measure.21,primary_outcome.time_frame.21,primary_outcome.description.21,primary_outcome.measure.22,primary_outcome.time_frame.22,primary_outcome.description.22,primary_outcome.measure.23,primary_outcome.time_frame.23,primary_outcome.description.23,primary_outcome.measure.24,primary_outcome.time_frame.24,primary_outcome.description.24,primary_outcome.measure.25,primary_outcome.time_frame.25,primary_outcome.description.25,primary_outcome.measure.26,primary_outcome.time_frame.26,primary_outcome.description.26
ACTG 309,NCT00000950,Metabolism of Antituberculosis Drugs in HIV-Infected Persons With Tuberculosis,Pharmacokinetics of Antituberculosis Agents in HIV-Infected Persons With Tuberculosis,Completed,National Institute of Allergy and Infectious Diseases (NIAID),Keith Chirgwin,Study Chair,David Perlman,Study Chair,N/A,Interventional,50,HIV Infections; Tuberculosis,All,13 Years,N/A,No,National Institute of Allergy and Infectious Diseases (NIAID),NIH,"ClinicalTrials.gov processed this data on July 26, 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CPCRA 005,NCT00000959,Prophylaxis Against Tuberculosis (TB) in Patients With Human Immunodeficiency Virus (HIV) Infection and Suspected Latent Tuberculous Infection,Prophylaxis Against Tuberculosis (TB) in Patients With Human Immunodeficiency Virus (HIV) Infection and Suspected Latent Tuberculous Infection,Completed,National Institute of Allergy and Infectious Diseases (NIAID),Gordin F,Study Chair,NA,NA,N/A,Interventional,600,HIV Infections; Tuberculosis,All,13 Years,N/A,No,National Institute of Allergy and Infectious Diseases (NIAID),NIH,"ClinicalTrials.gov processed this data on July 26, 2017",June 1996,Actual,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DATRI 008,NCT00000778,"A Pilot Study of Methodology to Rapidly Evaluate Drugs for Bactericidal Activity, Tolerance, and Pharmacokinetics in the Treatment of Pulmonary Tuberculosis Using Isoniazid and Levofloxacin","A Pilot Study of Methodology to Rapidly Evaluate Drugs for Bactericidal Activity, Tolerance, and Pharmacokinetics in the Treatment of Pulmonary Tuberculosis Using Isoniazid and Levofloxacin",Completed,National Institute of Allergy and Infectious Diseases (NIAID),Hafner R,Study Chair,Cohn J,Study Chair,Phase 1,Interventional,44,HIV Infections; Tuberculosis,All,18 Years,N/A,No,National Institute of Allergy and Infectious Diseases (NIAID),NIH,"ClinicalTrials.gov processed this data on July 26, 2017",NA,NA,NA,Egorin M,Study Chair,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACTG 238,NCT00000796,A Prospective Study of Multidrug Resistance and a Pilot Study of the Safety of and Clinical and Microbiologic Response to Levofloxacin in Combination With Other Antimycobacterial Drugs for Treatment of Multidrug-Resistant Pulmonary Tuberculosis (MDRTB) in HIV-Infected Patients.,A Prospective Study of Multidrug Resistance and a Pilot Study of the Safety of and Clinical and Microbiologic Response to Levofloxacin in Combination With Other Antimycobacterial Drugs for Treatment of Multidrug-Resistant Pulmonary Tuberculosis (MDRTB) in HIV-Infected Patients.,Completed,National Institute of Allergy and Infectious Diseases (NIAID),Telzak E,Study Chair,Benson C,Study Chair,N/A,Interventional,525,HIV Infections; Tuberculosis,All,13 Years,N/A,No,National Institute of Allergy and Infectious Diseases (NIAID),NIH,"ClinicalTrials.gov processed this data on July 26, 2017",October 1998,Actual,Actual,Chirgwin K,Study Chair,Sepkowitz K,Study Chair,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACTG 222,NCT00001033,The Treatment of Tuberculosis in HIV-Infected Patients,The Treatment of Pulmonary Mycobacterium Tuberculosis in HIV Infection,Completed,National Institute of Allergy and Infectious Diseases (NIAID),Perlman D,Study Chair,El-Sadr W,Study Chair,Phase 3,Interventional,650,HIV Infections; Tuberculosis,All,13 Years,N/A,No,National Institute of Allergy and Infectious Diseases (NIAID),NIH,"ClinicalTrials.gov processed this data on July 26, 2017",July 1997,Actual,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
199/11642,NCT00004740,Randomized Study of Interventions to Enhance Adherence to Isoniazid Prevention Therapy for Tuberculosis in Injection Drug Users,NA,Unknown status,National Institute on Drug Abuse (NIDA),Richard E. Chaisson,Study Chair,NA,NA,N/A,Interventional,300,Tuberculosis,All,18 Years,N/A,No,National Institute on Drug Abuse (NIDA),NIH,"ClinicalTrials.gov processed this data on July 26, 2017",NA,NA,NA,NA,NA,NA,NA,February 1995,Johns Hopkins University,Johns Hopkins University,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CDC-NCHSTP-2173,NCT00023348,TBTC Study 23A: Pharmacokinetics of Intermittent Isoniazid and Rifabutin in HIV-TB,TBTC Study 23A: Pharmacokinetics of Intermittent Isoniazid and Rifabutin in USPHS Study 23: Treatment of HIV-Related Tuberculosis Using a Rifabutin-Based Regimen,Completed,Centers for Disease Control and Prevention,"Marc Weiner, MD",Principal Investigator,NA,NA,Phase 2/Phase 3,Interventional,150,HIV Infections; Tuberculosis,All,18 Years,N/A,No,Centers for Disease Control and Prevention,U.S. Fed,"ClinicalTrials.gov processed this data on July 26, 2017",NA,NA,NA,NA,NA,NA,NA,July 1999,"Audie L. Murphy VA Medical Center, San Antonio TX",VA Office of Research and Development,U.S. Fed,November 2002,To determine the proportion of patients with HIV-related tuberculosis who have abnormal pharmacokinetics of isoniazid and rifabutin.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CDC-NCHSTP-2588,NCT00023413,TBTC Study 23C: Pharmacokinetics of Intermittent Rifabutin and Isoniazid With Daily Efavirenz,TBTC Study 23C: Intensive Pharmacokinetic Study of Intermittent Rifabutin and Isoniazid With Daily Efavirenz in Combination With Two Nucleoside Analogs for Treatment of HIV and Tuberculosis Co-infections,Completed,Centers for Disease Control and Prevention,"Marc Weiner, MD",Principal Investigator,NA,NA,Phase 2,Interventional,20,HIV Infections; Tuberculosis,All,18 Years,N/A,No,Centers for Disease Control and Prevention,U.S. Fed,"ClinicalTrials.gov processed this data on July 26, 2017",February 2004,Actual,Actual,NA,NA,NA,NA,November 1999,"San Antonio VAMC, San Antonio TX",VA Office of Research and Development,U.S. Fed,NA,Compare PK of rifabutin 600mg twice weekly with efavirenz 600mg daily to PK of rifabutin 300mg twice weekly without efavirenz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CDC-NCHSTP-2530,NCT00023439,TBTC NAA Study: Pilot Study of Surrogate Markers for Outcome of TB Treatment,Study of the Performance of Several Nucleic Acid Amplification Methodologies in the Diagnosis and Management of Active TB,Completed,Centers for Disease Control and Prevention,"Marc Weiner, MD",Principal Investigator,NA,NA,N/A,Observational,NA,Tuberculosis,All,18 Years,N/A,No,Centers for Disease Control and Prevention,U.S. Fed,"ClinicalTrials.gov processed this data on July 26, 2017",NA,NA,NA,NA,NA,NA,NA,May 2000,Audie L. Murphy VA Hospital,VA Office of Research and Development,U.S. Fed,NA,NA,300,Anticipated,Non-Probability Sample,"
        Inclusion Criteria:

          1. (1) Enrollment in another TBTC treatment study, or (2) Suspected or culture-confirmed
             pulmonary TB (designated ""NAA2""). Acceptable as indicators of suspected tuberculosis
             -- culture -- will be a positive AFB smear or a positive M. tuberculosis NAA test for
             MTB.

          2. (For NAA2 cases only): Collection of a sputum specimen for NAA processing, obtained in
             the interval from 14 days before, to 17 days after the start of anti-tuberculosis
             treatment.

          3. Physician recommendation and patient willingness to receive tuberculosis therapy as
             described in another TBTC treatment trial or in accordance with CDC/ATS
             recommendations as outlined below:

             Induction phase therapy will be initiated with 4-drugs (isoniazid, PZA, rifamycin and
             either ethambutol or streptomycin) by directly observed therapy (DOT).

               -  The induction regimen:

                    1. Induction regimens must have at least 40 DOT doses (if daily) or at least 56
                       DOT daily dose equivalents (if twice weekly). No more than 2 of every 7
                       total doses may be self-administered. Total induction doses (both DOT and
                       self-administered) should not exceed 70. Induction should be completed
                       within 12 weeks

                    2. The ethambutol or streptomycin may be discontinued if the patient continues
                       on adequate induction therapy with INH, rifampin and PZA, and if the M.
                       tuberculosis isolate is susceptible to INH and rifampin.

               -  If this induction regimen is not tolerated by the patient, a rifampin-containing
                  regimen compatible with CDC/ATS recommendations is an acceptable alternative.

          4. Age 18 years or older

          5. Willingness to practice effective contraception (if female and of child-bearing
             potential)

          6. Provision of written informed consent. Signed by both the patient and investigator, in
             accordance with Institutional Review Board requirements

        Exclusion Criteria:

          -  Treatment with a drug(s) with high anti-mycobacterial activity for more than 15 days
             in the two months PRIOR to the start of anti-tuberculosis treatment, unless
             co-enrolled in TBTC Study 23, TBTC Study 24 or another TBTC treatment study.

          -  Patients with only extrapulmonary tuberculosis, unless co-enrolled in TBTC Studies 23,
             TBTC Study 24, or another TBTC treatment study.

          -  Skeletal tuberculosis

          -  Silicotuberculosis

          -  Patient intolerance of rifamycins, or MTB resistance to rifamycins

          -  Pregnancy or breast feeding
      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5R01AI041956-05,NCT00057434,Vitamin A Therapy for Tuberculosis,Adjunct Vitamin A Therapy for Tuberculosis and HIV/AIDS,Completed,National Institute of Allergy and Infectious Diseases (NIAID),"Richard D. Semba, MD",Principal Investigator,NA,NA,Phase 3,Interventional,1140,Pulmonary Tuberculosis; HIV Infections,All,18 Years,80 Years,No,National Institute of Allergy and Infectious Diseases (NIAID),NIH,"ClinicalTrials.gov processed this data on July 26, 2017",NA,NA,NA,NA,NA,NA,NA,September 1998,Johns Hopkins University,NA,NA,NA,Mortality,NA,NA,NA,NA,Zomba Central Hospital,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
